financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg
2015,Sembawang,5-room,0,0,0,0
2015,Sengkang,2-room,80000,137000,4000,57000
2015,Sengkang,3-room,159000,202000,89000,132000
2015,Sengkang,4-room,252000,330000,197000,275000
2015,Sengkang,5-room,320000,402000,310000,392000
2016,Bukit Panjang,2-room,73000,139000,4000,59000
2016,Bukit Panjang,3-room,147000,210000,72000,135000
2016,Bukit Panjang,4-room,239000,336000,179000,276000
2016,Bukit Panjang,5-room,315000,410000,310000,405000
2016,Punggol,2-room,80000,140000,4000,60000
2016,Punggol,3-room,163000,210000,88000,135000
2016,Punggol,4-room,257000,365000,197000,305000
2016,Punggol,5-room,329000,498000,324000,493000
2016,Sembawang,2-room,74000,116000,4000,36000
2016,Sembawang,3-room,151000,181000,76000,106000
2016,Sembawang,4-room,235000,300000,175000,240000
2016,Sembawang,5-room,311000,392000,306000,387000
2016,Yishun,2-room,79000,123000,4000,43000
2016,Yishun,3-room,156000,190000,81000,115000
2016,Yishun,4-room,251000,297000,191000,237000
2016,Yishun,5-room,0,0,0,0
2017,Bukit Batok,2-room,87000,164000,7000,84000
2017,Bukit Batok,3-room,171000,246000,96000,171000
2017,Bukit Batok,4-room,265000,321000,205000,261000
2017,Bukit Batok,5-room,353000,418000,348000,413000
2017,Choa Chu Kang,2-room,89000,139000,9000,59000
2017,Choa Chu Kang,3-room,182000,211000,107000,136000
2017,Choa Chu Kang,4-room,250000,340000,190000,280000
2017,Choa Chu Kang,5-room,0,0,0,0
2017,Punggol,2-room,0,0,0,0
2017,Punggol,3-room,0,0,0,0
2017,Punggol,4-room,287000,347000,227000,287000
2017,Punggol,5-room,357000,434000,352000,429000
2017,Sengkang,2-room,78000,139000,4000,59000
2017,Sengkang,3-room,159000,215000,84000,140000
2017,Sengkang,4-room,252000,331000,192000,271000
2017,Sengkang,5-room,317000,402000,312000,397000
2017,Woodlands,2-room,71000,129000,4000,49000
2017,Woodlands,3-room,140000,189000,65000,114000
2017,Woodlands,4-room,225000,318000,165000,258000
2017,Woodlands,5-room,279000,401000,274000,396000
2017,Yishun,2-room,77000,113000,4000,33000
2017,Yishun,3-room,157000,177000,82000,102000
2017,Yishun,4-room,251000,291000,191000,231000
2017,Yishun,5-room,331000,378000,326000,373000
2018,Jurong West,2-room,95000,160000,15000,80000
2018,Jurong West,3-room,185000,243000,110000,168000
2018,Jurong West,4-room,257000,364000,197000,304000
2018,Jurong West,5-room,338000,457000,333000,452000
2018,Punggol,2-room,103000,158000,23000,78000
2018,Punggol,3-room,189000,243000,114000,168000
2018,Punggol,4-room,286000,362000,226000,302000
2018,Punggol,5-room,393000,489000,388000,484000
2018,Sembawang,2-room,0,0,0,0
2018,Sembawang,3-room,165000,204000,90000,129000
2018,Sembawang,4-room,251000,304000,191000,244000
2018,Sembawang,5-room,327000,391000,322000,386000
2018,Sengkang,2-room,99000,151000,19000,71000
2018,Sengkang,3-room,187000,242000,112000,167000
2018,Sengkang,4-room,270000,353000,210000,293000
2018,Sengkang,5-room,362000,438000,357000,433000
2018,Tengah,2-room,101000,150000,21000,70000
2018,Tengah,3-room,193000,243000,118000,168000
2018,Tengah,4-room,290000,355000,230000,295000
2018,Tengah,5-room,397000,480000,392000,475000
2018,Yishun,2-room,75000,132000,4000,52000
2018,Yishun,3-room,170000,216000,95000,141000
2018,Yishun,4-room,248000,317000,188000,257000
2018,Yishun,5-room,334000,405000,329000,400000
2019,Punggol,2-room,109000,173000,29000,93000
2019,Punggol,3-room,205000,268000,130000,193000
2019,Punggol,4-room,287000,398000,227000,338000
2019,Punggol,5-room,423000,551000,378000,506000
2019,Sembawang,2-room,89000,141000,9000,61000
2019,Sembawang,3-room,177000,210000,102000,135000
2019,Sembawang,4-room,272000,320000,212000,260000
2019,Sembawang,5-room,350000,406000,305000,361000
2019,Tengah,2-room,106000,167000,26000,87000
2019,Tengah,3-room,192000,256000,117000,181000
2019,Tengah,4-room,302000,381000,242000,321000
2019,Tengah,5-room,409000,510000,364000,465000
2019,Woodlands,2-room,86000,128000,6000,48000
2019,Woodlands,3-room,165000,194000,90000,119000
2019,Woodlands,4-room,244000,295000,184000,235000
2019,Woodlands,5-room,336000,383000,331000,378000
2020,Bukit Batok,2-room ,101000,144000,21000,64000
2020,Bukit Batok,3-room,175000,221000,100000,146000
2020,Bukit Batok,4-room,260000,334000,200000,274000
2020,Bukit Batok,5-room,384000,460000,339000,415000
2020,Choa Chu Kang,2-room ,99000,143000,19000,63000
2020,Choa Chu Kang,3-room,164000,214000,89000,139000
2020,Choa Chu Kang,4-room,253000,326000,193000,266000
2020,Choa Chu Kang,5-room,0,0,0,0
2020,Sembawang,2-room,92000,122000,12000,42000
2020,Sembawang,3-room,163000,189000,88000,114000
2020,Sembawang,4-room,260000,302000,200000,242000
2020,Sembawang,5-room,336000,388000,291000,343000
2020,Tengah,2-room,108000,167000,28000,87000
2020,Tengah,3-room,194000,248000,119000,173000
2020,Tengah,4-room,288000,366000,228000,306000
2020,Tengah,5-room,394000,489000,349000,444000
2020,Woodlands,2-room,90000,162000,10000,82000
2020,Woodlands,3-room,184000,228000,109000,153000
2020,Woodlands,4-room,276000,381000,216000,321000
2020,Woodlands,5-room,405000,516000,360000,471000
2021,Hougang,2-room ,108000,234000,28000,154000
2021,Hougang,3-room,199000,340000,124000,265000
2021,Hougang,4-room,308000,507000,248000,447000
2021,Hougang,5-room,392000,495000,347000,450000
2021,Jurong East,2-room ,121000,189000,41000,109000
2021,Jurong East,3-room,237000,281000,162000,206000
2021,Jurong East,4-room,347000,436000,287000,376000
2021,Jurong East,5-room,0,0,0,0
2021,Jurong West,2-room,0,0,0,0
2021,Jurong West,3-room,173000,229000,98000,154000
2021,Jurong West,4-room,264000,321000,204000,261000
2021,Jurong West,5-room,0,0,0,0
2021,Tengah,2-room,113000,190000,33000,110000
2021,Tengah,3-room,194000,273000,119000,198000
2021,Tengah,4-room,299000,403000,239000,343000
2021,Tengah,5-room,404000,525000,359000,480000
2021,Woodlands,2-room,98000,148000,18000,68000
2021,Woodlands,3-room,185000,219000,110000,144000
2021,Woodlands,4-room,275000,373000,215000,313000
2021,Woodlands,5-room,372000,491000,327000,446000
2021,Yishun,2-room,95000,149000,15000,69000
2021,Yishun,3-room,180000,248000,105000,173000
2021,Yishun,4-room,270000,374000,210000,314000
2021,Yishun,5-room,358000,490000,340000,445000
